tanggal,jumlah_pasien,is_weekend,is_imlek,is_idulfitri,is_idulfitri_sec,is_iduladha,is_waisak,is_natal,is_nyepi,is_libur_nasional,lag_1,lag_7,lag_14,lag_21,lag_30
2023-11-13,100,0,0,0,0,0,0,0,0,0,81,96,108,104,80
2023-11-14,88,0,0,0,0,0,0,0,0,0,100,91,97,105,70
2023-11-15,93,0,0,0,0,0,0,0,0,0,88,106,95,108,85
2023-11-16,88,0,0,0,0,0,0,0,0,0,93,101,92,95,99
2023-11-17,89,0,0,0,0,0,0,0,0,0,88,97,91,91,100
2023-11-18,90,1,0,0,0,0,0,0,0,0,89,97,80,89,99
2023-11-19,81,1,0,0,0,0,0,0,0,0,90,81,75,87,101
2023-11-20,96,0,0,0,0,0,0,0,0,0,81,100,96,108,89
2023-11-21,83,0,0,0,0,0,0,0,0,0,96,88,91,97,76
2023-11-22,91,0,0,0,0,0,0,0,0,0,83,93,106,95,104
2023-11-23,87,0,0,0,0,0,0,0,0,0,91,88,101,92,105
2023-11-24,78,0,0,0,0,0,0,0,0,0,87,89,97,91,108
2023-11-25,67,1,0,0,0,0,0,0,0,0,78,90,97,80,95
2023-11-26,66,1,0,0,0,0,0,0,0,0,67,81,81,75,91
2023-11-27,96,0,0,0,0,0,0,0,0,0,66,96,100,96,89
2023-11-28,101,0,0,0,0,0,0,0,0,0,96,83,88,91,87
2023-11-29,110,0,0,0,0,0,0,0,0,0,101,91,93,106,108
2023-11-30,108,0,0,0,0,0,0,0,0,0,110,87,88,101,97
2023-12-01,85,0,0,0,0,0,0,0,0,0,108,78,89,97,95
2023-12-02,75,1,0,0,0,0,0,0,0,0,85,67,90,97,92
2023-12-03,71,1,0,0,0,0,0,0,0,0,75,66,81,81,91
2023-12-04,86,0,0,0,0,0,0,0,0,0,71,96,96,100,80
2023-12-05,79,0,0,0,0,0,0,0,0,0,86,101,83,88,75
2023-12-06,80,0,0,0,0,0,0,0,0,0,79,110,91,93,96
2023-12-07,93,0,0,0,0,0,0,0,0,0,80,108,87,88,91
2023-12-08,81,0,0,0,0,0,0,0,0,0,93,85,78,89,106
2023-12-09,79,1,0,0,0,0,0,0,0,0,81,75,67,90,101
2023-12-10,73,1,0,0,0,0,0,0,0,0,79,71,66,81,97
2023-12-11,95,0,0,0,0,0,0,0,0,0,73,86,96,96,97
2023-12-12,94,0,0,0,0,0,0,0,0,0,95,79,101,83,81
2023-12-13,93,0,0,0,0,0,0,0,0,0,94,80,110,91,100
2023-12-14,93,0,0,0,0,0,0,0,0,0,93,93,108,87,88
2023-12-15,92,0,0,0,0,0,0,0,0,0,93,81,85,78,93
2023-12-16,92,1,0,0,0,0,0,0,0,0,92,79,75,67,88
2023-12-17,94,1,0,0,0,0,0,0,0,0,92,73,71,66,89
2023-12-18,119,0,0,0,0,0,0,1,0,0,94,95,86,96,90
2023-12-19,110,0,0,0,0,0,0,1,0,0,119,94,79,101,81
2023-12-20,83,0,0,0,0,0,0,1,0,0,110,93,80,110,96
2023-12-21,68,0,0,0,0,0,0,1,0,0,83,93,93,108,83
2023-12-22,68,0,0,0,0,0,0,1,0,0,68,92,81,85,91
2023-12-23,65,1,0,0,0,0,0,1,0,0,68,92,79,75,87
2023-12-24,45,1,0,0,0,0,0,1,0,0,65,94,73,71,78
2023-12-25,46,0,0,0,0,0,0,1,0,1,45,119,95,86,67
2023-12-26,55,0,0,0,0,0,0,1,0,0,46,110,94,79,66
2023-12-27,74,0,0,0,0,0,0,1,0,0,55,83,93,80,96
2023-12-28,85,0,0,0,0,0,0,1,0,0,74,68,93,93,101
2023-12-29,89,0,0,0,0,0,0,1,0,0,85,68,92,81,110
2023-12-30,65,1,0,0,0,0,0,1,0,0,89,65,92,79,108
2023-12-31,52,1,0,0,0,0,0,1,0,0,65,45,94,73,85
2024-01-01,51,0,0,0,0,0,0,1,0,1,52,46,119,95,75
2024-01-02,66,0,0,0,0,0,0,0,0,0,51,55,110,94,71
2024-01-03,78,0,0,0,0,0,0,0,0,0,66,74,83,93,86
2024-01-04,83,0,0,0,0,0,0,0,0,0,78,85,68,93,79
2024-01-05,92,0,0,0,0,0,0,0,0,0,83,89,68,92,80
2024-01-06,100,1,0,0,0,0,0,0,0,0,92,65,65,92,93
2024-01-07,102,1,0,0,0,0,0,0,0,0,100,52,45,94,81
2024-01-08,113,0,0,0,0,0,0,0,0,0,102,51,46,119,79
2024-01-09,101,0,0,0,0,0,0,0,0,0,113,66,55,110,73
2024-01-10,102,0,0,0,0,0,0,0,0,0,101,78,74,83,95
2024-01-11,90,0,0,0,0,0,0,0,0,0,102,83,85,68,94
2024-01-12,90,0,0,0,0,0,0,0,0,0,90,92,89,68,93
2024-01-13,80,1,0,0,0,0,0,0,0,0,90,100,65,65,93
2024-01-14,86,1,0,0,0,0,0,0,0,0,80,102,52,45,92
2024-01-15,107,0,0,0,0,0,0,0,0,0,86,113,51,46,92
2024-01-16,112,0,0,0,0,0,0,0,0,0,107,101,66,55,94
2024-01-17,112,0,0,0,0,0,0,0,0,0,112,102,78,74,119
2024-01-18,105,0,0,0,0,0,0,0,0,0,112,90,83,85,110
2024-01-19,94,0,0,0,0,0,0,0,0,0,105,90,92,89,83
2024-01-20,89,1,0,0,0,0,0,0,0,0,94,80,100,65,68
2024-01-21,96,1,0,0,0,0,0,0,0,0,89,86,102,52,68
2024-01-22,106,0,0,0,0,0,0,0,0,0,96,107,113,51,65
2024-01-23,102,0,0,0,0,0,0,0,0,0,106,112,101,66,45
2024-01-24,101,0,0,0,0,0,0,0,0,0,102,112,102,78,46
2024-01-25,107,0,0,0,0,0,0,0,0,0,101,105,90,83,55
2024-01-26,105,0,0,0,0,0,0,0,0,0,107,94,90,92,74
2024-01-27,94,1,0,0,0,0,0,0,0,0,105,89,80,100,85
2024-01-28,88,1,0,0,0,0,0,0,0,0,94,96,86,102,89
2024-01-29,113,0,0,0,0,0,0,0,0,0,88,106,107,113,65
2024-01-30,113,0,0,0,0,0,0,0,0,0,113,102,112,101,52
2024-01-31,111,0,0,0,0,0,0,0,0,0,113,101,112,102,51
2024-02-01,99,0,0,0,0,0,0,0,0,0,111,107,105,90,66
2024-02-02,100,0,0,0,0,0,0,0,0,0,99,105,94,90,78
2024-02-03,88,1,1,0,0,0,0,0,0,0,100,94,89,80,83
2024-02-04,83,1,1,0,0,0,0,0,0,0,88,88,96,86,92
2024-02-05,104,0,1,0,0,0,0,0,0,0,83,113,106,107,100
2024-02-06,100,0,1,0,0,0,0,0,0,0,104,113,102,112,102
2024-02-07,103,0,1,0,0,0,0,0,0,0,100,111,101,112,113
2024-02-08,92,0,1,0,0,0,0,0,0,1,103,99,107,105,101
2024-02-09,85,0,1,0,0,0,0,0,0,0,92,100,105,94,102
2024-02-10,78,1,1,0,0,0,0,0,0,1,85,88,94,89,90
2024-02-11,83,1,1,0,0,0,0,0,0,0,78,83,88,96,90
2024-02-12,114,0,1,0,0,0,0,0,0,0,83,104,113,106,80
2024-02-13,112,0,1,0,0,0,0,0,0,0,114,100,113,102,86
2024-02-14,93,0,1,0,0,0,0,0,0,1,112,103,111,101,107
2024-02-15,108,0,1,0,0,0,0,0,0,0,93,92,99,107,112
2024-02-16,118,0,1,0,0,0,0,0,0,0,108,85,100,105,112
2024-02-17,121,1,1,0,0,0,0,0,0,0,118,78,88,94,105
2024-02-18,105,1,0,0,0,0,0,0,0,0,121,83,83,88,94
2024-02-19,153,0,0,0,0,0,0,0,0,0,105,114,104,113,89
2024-02-20,153,0,0,0,0,0,0,0,0,0,153,112,100,113,96
2024-02-21,148,0,0,0,0,0,0,0,0,0,153,93,103,111,106
2024-02-22,154,0,0,0,0,0,0,0,0,0,148,108,92,99,102
2024-02-23,143,0,0,0,0,0,0,0,0,0,154,118,85,100,101
2024-02-24,124,1,0,0,0,0,0,0,0,0,143,121,78,88,107
2024-02-25,107,1,0,0,0,0,0,0,0,0,124,105,83,83,105
2024-02-26,125,0,0,0,0,0,0,0,0,0,107,153,114,104,94
2024-02-27,123,0,0,0,0,0,0,0,0,0,125,153,112,100,88
2024-02-28,127,0,0,0,0,0,0,0,0,0,123,148,93,103,113
2024-02-29,114,0,0,0,0,0,0,0,0,0,127,154,108,92,113
2024-03-01,116,0,0,0,0,0,0,0,0,0,114,143,118,85,111
2024-03-02,102,1,0,0,0,0,0,0,0,0,116,124,121,78,99
2024-03-03,90,1,0,0,0,0,0,0,0,0,102,107,105,83,100
2024-03-04,123,0,0,0,0,0,0,0,1,0,90,125,153,114,88
2024-03-05,126,0,0,0,0,0,0,0,1,0,123,123,153,112,83
2024-03-06,144,0,0,0,0,0,0,0,1,0,126,127,148,93,104
2024-03-07,131,0,0,0,0,0,0,0,1,0,144,114,154,108,100
2024-03-08,119,0,0,0,0,0,0,0,1,0,131,116,143,118,103
2024-03-09,120,1,0,0,0,0,0,0,1,0,119,102,124,121,92
2024-03-10,106,1,0,0,0,0,0,0,1,0,120,90,107,105,85
2024-03-11,101,0,0,0,0,0,0,0,1,1,106,123,125,153,78
2024-03-12,89,0,0,0,0,0,0,0,1,0,101,126,123,153,83
2024-03-13,113,0,0,0,0,0,0,0,1,0,89,144,127,148,114
2024-03-14,114,0,0,0,0,0,0,0,1,0,113,131,114,154,112
2024-03-15,122,0,0,0,0,0,0,0,1,0,114,119,116,143,93
2024-03-16,124,1,0,0,0,0,0,0,1,0,122,120,102,124,108
2024-03-17,112,1,0,0,0,0,0,0,1,0,124,106,90,107,118
2024-03-18,143,0,0,0,0,0,0,0,1,0,112,101,123,125,121
2024-03-19,140,0,0,0,0,0,0,0,0,0,143,89,126,123,105
2024-03-20,129,0,0,0,0,0,0,0,0,0,140,113,144,127,153
2024-03-21,124,0,0,0,0,0,0,0,0,0,129,114,131,114,153
2024-03-22,111,0,0,0,0,0,0,0,0,0,124,122,119,116,148
2024-03-23,99,1,0,0,0,0,0,0,0,0,111,124,120,102,154
2024-03-24,101,1,0,0,0,0,0,0,0,0,99,112,106,90,143
2024-03-25,119,0,0,0,0,0,0,0,0,0,101,143,101,123,124
2024-03-26,104,0,0,0,0,0,0,0,0,0,119,140,89,126,107
2024-03-27,104,0,0,0,0,0,0,0,0,0,104,129,113,144,125
2024-03-28,93,0,0,0,0,0,0,0,0,0,104,124,114,131,123
2024-03-29,83,0,0,0,0,0,0,0,0,1,93,111,122,119,127
2024-03-30,91,1,0,0,0,0,0,0,0,0,83,99,124,120,114
2024-03-31,86,1,0,0,0,0,0,0,0,1,91,101,112,106,116
2024-04-01,88,0,0,0,0,0,0,0,0,0,86,119,143,101,102
2024-04-02,77,0,0,0,0,0,0,0,0,0,88,104,140,89,90
2024-04-03,79,0,0,1,0,0,0,0,0,0,77,104,129,113,123
2024-04-04,79,0,0,1,1,0,0,0,0,0,79,93,124,114,126
2024-04-05,76,0,0,1,1,0,0,0,0,0,79,83,111,122,144
2024-04-06,69,1,0,1,1,0,0,0,0,0,76,91,99,124,131
2024-04-07,58,1,0,1,1,0,0,0,0,0,69,86,101,112,119
2024-04-08,51,0,0,1,1,0,0,0,0,0,58,88,119,143,120
2024-04-09,59,0,0,1,1,0,0,0,0,0,51,77,104,140,106
2024-04-10,60,0,0,1,1,0,0,0,0,1,59,79,104,129,101
2024-04-11,66,0,0,1,1,0,0,0,0,1,60,79,93,124,89
2024-04-12,67,0,0,1,1,0,0,0,0,0,66,76,83,111,113
2024-04-13,80,1,0,1,1,0,0,0,0,0,67,69,91,99,114
2024-04-14,88,1,0,1,1,0,0,0,0,0,80,58,86,101,122
2024-04-15,103,0,0,1,1,0,0,0,0,0,88,51,88,119,124
2024-04-16,138,0,0,1,1,0,0,0,0,0,103,59,77,104,112
2024-04-17,150,0,0,1,1,0,0,0,0,0,138,60,79,104,143
2024-04-18,151,0,0,0,1,0,0,0,0,0,150,66,79,93,140
2024-04-19,148,0,0,0,0,0,0,0,0,0,151,67,76,83,129
